sample_ising,ising_energy,sample_vectorized,vectorized_energy
1,412.0,1,204.0
2,332.0,2,172.0
3,304.0,3,146.0
4,290.0,4,134.0
5,274.0,5,122.0
6,268.0,6,120.0
7,260.0,7,118.0
8,260.0,8,114.0
9,252.0,9,114.0
10,250.0,10,110.0
11,250.0,11,108.0
12,250.0,12,104.0
13,250.0,13,102.0
14,250.0,14,102.0
15,250.0,15,102.0
16,250.0,16,100.0
17,250.0,17,96.0
18,250.0,18,96.0
19,250.0,19,96.0
20,250.0,20,96.0
21,250.0,21,96.0
22,250.0,22,94.0
23,250.0,23,94.0
24,250.0,24,92.0
25,250.0,25,92.0
26,250.0,26,92.0
27,250.0,27,92.0
28,250.0,28,92.0
29,250.0,29,92.0
30,250.0,30,90.0
31,250.0,31,90.0
32,250.0,32,90.0
33,250.0,33,90.0
34,250.0,34,86.0
35,250.0,35,84.0
36,250.0,36,84.0
37,250.0,37,80.0
38,250.0,38,76.0
39,250.0,39,76.0
40,250.0,40,76.0
41,250.0,41,76.0
42,250.0,42,76.0
43,250.0,43,76.0
44,250.0,44,76.0
45,250.0,45,76.0
46,250.0,46,76.0
47,250.0,47,76.0
48,250.0,48,76.0
49,250.0,49,74.0
50,250.0,50,74.0
51,250.0,51,74.0
52,250.0,52,74.0
53,250.0,53,74.0
54,250.0,54,74.0
55,250.0,55,74.0
56,250.0,56,74.0
57,250.0,57,74.0
58,250.0,58,74.0
59,250.0,59,74.0
60,250.0,60,74.0
61,250.0,61,74.0
62,250.0,62,74.0
63,250.0,63,74.0
64,250.0,64,74.0
65,250.0,65,74.0
66,250.0,66,74.0
67,250.0,67,74.0
68,250.0,68,74.0
69,250.0,69,74.0
70,250.0,70,74.0
71,250.0,71,74.0
72,250.0,72,74.0
73,250.0,73,74.0
74,250.0,74,74.0
75,250.0,75,74.0
76,250.0,76,74.0
77,250.0,77,74.0
78,250.0,78,74.0
79,250.0,79,72.0
80,250.0,80,72.0
81,250.0,81,72.0
82,250.0,82,72.0
83,250.0,83,72.0
