sample_ising,ising_energy,sample_vectorized,vectorized_energy
1,202.0,1,414.0
2,180.0,2,306.0
3,166.0,3,300.0
4,158.0,4,294.0
5,152.0,5,280.0
6,144.0,6,270.0
7,138.0,7,260.0
8,130.0,8,250.0
9,130.0,9,250.0
10,128.0,10,252.0
11,126.0,11,250.0
12,118.0,12,250.0
13,116.0,13,248.0
14,110.0,14,234.0
15,106.0,15,230.0
16,102.0,16,230.0
17,96.0,17,222.0
18,96.0,18,222.0
19,94.0,19,224.0
20,88.0,20,222.0
21,92.0,21,220.0
22,88.0,22,214.0
23,88.0,23,214.0
24,88.0,24,212.0
25,88.0,25,210.0
26,84.0,26,210.0
27,90.0,27,208.0
28,90.0,28,210.0
29,88.0,29,208.0
30,86.0,30,212.0
31,84.0,31,204.0
32,84.0,32,204.0
33,84.0,33,204.0
34,86.0,34,202.0
35,86.0,35,198.0
36,84.0,36,198.0
37,88.0,37,202.0
38,84.0,38,202.0
39,84.0,39,204.0
40,88.0,40,202.0
41,88.0,41,200.0
42,88.0,42,200.0
43,88.0,43,198.0
44,88.0,44,196.0
45,88.0,45,192.0
46,86.0,46,188.0
47,86.0,47,188.0
48,86.0,48,184.0
49,86.0,49,174.0
50,82.0,50,174.0
51,80.0,51,168.0
52,80.0,52,168.0
53,78.0,53,168.0
54,82.0,54,172.0
55,78.0,55,172.0
56,76.0,56,170.0
57,74.0,57,170.0
58,74.0,58,170.0
59,74.0,59,172.0
60,84.0,60,172.0
61,80.0,61,170.0
62,82.0,62,170.0
63,78.0,63,168.0
64,78.0,64,170.0
65,80.0,65,174.0
66,76.0,66,174.0
67,78.0,67,174.0
68,80.0,68,174.0
69,80.0,69,168.0
70,76.0,70,168.0
71,80.0,71,166.0
72,78.0,72,168.0
73,78.0,73,166.0
74,76.0,74,166.0
75,74.0,75,168.0
76,74.0,76,166.0
77,74.0,77,170.0
78,80.0,78,170.0
79,76.0,79,172.0
80,76.0,80,168.0
81,80.0,81,166.0
82,76.0,82,166.0
