nodes_tabucol_gpu,ETS_tabucol_gpu,nodes_probabilistic_ising_gpu,ETS_probabilistic_ising_gpu,nodes_vectorized_gpu,ETS_vectorized_gpu,nodes_vectorized_fpga,ETS_vectorized_fpga,nodes_sbm_gpu,ETS_sbm_gpu
138,28.630193263292313,138,inf,138,2148.5456435084343,138,0.0024226666666666667,138,inf
87,40.85206773877144,87,inf,87,782.655647009611,87,0.0017593333333333332,87,inf
74,2.6744210720062256,74,6052.295419974804,74,31.95179945230484,74,8.222222222222222e-05,74,inf
11,0.15611621737480164,11,1329.0724496091025,11,0.2351102113723755,11,2.4444444444444447e-06,11,29.92369387044692
23,0.7437936067581177,23,inf,23,7.735565400123595,23,3.45e-05,23,26.23157594062727
47,3.8356783390045166,47,1779.6594660429953,47,77.27020715475082,47,2.3499999999999995e-05,47,34.941515078140476
95,9.18188950419426,95,6378.323344595432,95,554.2062705695629,95,0.0008549999999999999,95,953.9807804601742
191,25.30078461766243,191,inf,191,1999.887274864316,191,0.0016871666666666667,191,inf
121,1098.2310817241669,121,inf,121,2198.153395271301,121,0.007582666666666666,121,inf
169,1076.8600907325745,169,inf,169,4387.089469385147,169,0.010515555555555556,169,inf
25,35.601866543293,25,inf,25,2669.3016497911026,25,0.00021666666666666666,25,inf
36,3251.012855599163,36,7542.187808622463,36,454.12128598334476,36,0.00037199999999999993,36,inf
49,6880.209506912463,49,inf,49,25472.98145087235,49,0.0004981666666666667,49,inf
96,836.2160591185093,96,39568.54225934438,96,1741.8812935829162,96,0.014271999999999998,96,inf
64,1030.462611079216,64,inf,64,785.444142589043,64,0.0035128888888888887,64,inf
81,1037.176632732153,81,142547.05688428454,81,1095.1630021244287,81,0.014669999999999999,81,inf
